,Title,Authors,Year
0,"Laws, etc",Rand McNally,1691
1,Just So Stories (Tape),Children,1986
2,"State Legislative Education Committees Directory, 1989-1990",Children,1990
3,"Children's toys, and some elementary lessons in general knowledge which they teach",Children,1877
4,"Historical perspective on mental retardation during the decade, 1954-1964",Children.,1964
5,"Children's britannica, vol. 20",CHILDREN'S,1973
6,Children's Crusade for Children records,Children's Crusade for Children,-1
7,The Rough Guide to African Music for Children CD,Children for Children,2005
8,Super Scratch Art Pads,Sterling Children's,2017
9,Field Trip Facts: Notes From Ms. Frizzle's Kids,School Children,2007
10,The needs of the under-fives in the family,Children's Committee.,1980
11,Rose's Table,Sanna Children,2004
12,Hamlet,William Shakespeare,1603
13,Children's Art Therapy 2004 Engagement Calendar,Aldea children,2003
14,Children's Art Therapy 2003 Engagement Calendar,Aldea children,2002
15,Children's Art Therapy 2005 Engagement Calendar,Aldea children,2004
16,Children's Art Therapy 2004 Wall Calendar,Aldea children,2003
17,Children's Art Therapy 2005 Wall Calendar,Aldea children,2004
18,Clone of My Own #6,TK (Children's),-1
19,Baby's Day,TK (Children's),2005
20,Uncle Arthur's Storytime,Children's Media,1989
21,Children's Art Therapy 2006 Engagement Calendar,Aldea Children,2005
22,Children's Art Therapy 2002 Engagement Calendar,Aldea Children,2001
23,Children's Art Therapy 2006 Wall Calendar,Aldea Children,2005
24,Mazes!,Quarto Children's,1998
25,Piggy Bank,Quarto Children's,1999
26,Carl Lewis,Children's Press,1984
27,Circle the Year with Holidays,Children's Press,1997
28,Aquatic Life,Children's Press,1998
29,"Believers in America/Followers of the North Star/Latino Rainbow/Songs of Our Ancestors (Many Voices, One Song)",Children's Press,1997
30,People and Places,Children's Press,1992
31,Astronomy & Cardinal Directions,Children's Press,1998
32,"Insects, Spiders, & Worms",Children's Press,1998
33,United States History Government,Children's Press,1988
34,Native Peoples Series Set,Children's Press,1991
35,Physical Science,Children's Press,1998
36,Games People Play,Children's Press,1995
37,World's Greatest Composers,Children's Press,1998
38,World of Difference Series,Children's Press,1995
39,Getting to Know the World Greatest Artists,Children's Press,1998
40,Earth Science & Ecology,Children's Press,1998
41,You Are There,Children's Press,1997
42,Experiments,Children's Press,1940
43,A Child's eye: Indonesia through the eyes of a child,Indonesian children,2002
44,Children's Britannica,Children's Britannica.,1965
45,Reggio Tutta,teachers children,2001
46,The reduction of perinatal mortality and morbidity,Children's Committee.,1979
47,"""Whose children?""",Children's Foundation,-1
48,Differentiation,Special Children.,-1
49,250 Songs for Children's Praise & Worship,Children's Ministry,2006
50,Cm̤o Ayudar al Niǫ en Situaciones Difc̕iles (How,Axel Children.,-1
51,A short statement of the case of John Children,John Children,1787
52,"Games and songs of American children, collected and compared by W.W. Newell",American children,1883
53,"A collection of hope's [sic], dream's [sic] & fear's [sic] for the millennium",Rothwell's Children.,-1
54,Byron Through the Seasons,LaRoche Children,1999
55,"Made in the North Pole
            
                Rise of the Guardians",Tk (Children's),2012
56,Can You Find Colors,Children's Press,2010
57,"Olivia Goes to the Aquarium
            
                Olivia TV TieIn",Children's Tk,-1
58,Baby Moves,TK (Children's),2005
59,Piglets Belong To Pigs,Children's Press,2009
60,Captain Courageous,Children's Classics,1999
61,"Jared Grace's How-to-Draw Book (Spiderwick Chronicles, the)",TK (Children's),2007
62,"Our children's rest; or, Comfort for bereaved mothers",Our children,1863
63,"Our children's times; or, Sketches of the past and present, from ... 1848 to ... 1855",Our children,1856
64,"Choice gatherings for Christian children, with an intr. by C. Clayton",Christian children,1846
65,Untitled Picture Book,TK (Children's),2010
66,The Children's Friend story book,Children's Friend,1952
67,"Baby Logbook: Navy Banner Tracker for Newborns, Breastfeeding Journal, Sleeping and Baby Health Notebook",Children's Notebooks,2017
68,Enchantment of the World,Children's Press,2015
69,Beautiful Beasts,Sterling Children's,2015
70,Food/Los alimentos,Sterling Children's,2016
71,Clothes/La ropa,Sterling Children's,2016
72,Color Your Own Doll's House,Sterling Children's,2016
73,Do You Mind? A Knicknattics Guide to Manners,Fantastical Children,2012
74,Olivia And The Dog Wash,Tk (Children's),2012
75,Whizzing Through The Woods,Butterfly Children,2018
76,Look & See,Sterling Children's,2018
77,Listful Thinking,Sterling Children's,2018
78,Everything You Need to Know About Snakes,DK Children,2013
79,Make a Yellow Dot the Sun,Sterling Children's,2017
80,Doodlepedia Animal Antics,DK Children,2013
81,Sing A Song Of Seasons,Children's Press,2009
82,Olivia And Grandmas Visit,Tk (Children's),2013
83,The legacy letters,Tuesday's Children,2011
84,Children Stories,Children Books,2018
85,Invisible Children's Activist Journal in the Race for Peace in Northern Uganda (This is Our Mission,Invisible Children,2009
86,Puzzlemania,"Highlights for Children, Inc.",1989
87,Odyssey,Homer,1488
88,Children,John W. Santrock,1988
89,Pride and Prejudice,Jane Austen,1813
90,Mathmania,Inc. Highlights for Children,2002
91,El ingenioso hidalgo Don Quijote de la Mancha,"Miguel de Cervantes Saavedra,
        Florencio Sevilla Arroyo,
        Elena Varela Merino,
        Carlos Alonso,
        Jorge Alvaro,
        Silvina Benguria",1600
92,Report and accounts,National Children's Bureau.,1980
93,Report,Paddington Green Children's Hospital,1893
94,Annual report of the Royal Manchester Children's Hospital,Royal Manchester Children's Hospital,1933
95,Routes to Health - Environmental Studies with 10-14 Year Olds,Save the Children,1995
96,What every special educator must know,Council for Exceptional Children.,1995
97,Convocation lectures,National Children's Home.,1966
98,Prenatal care,United States. Children's Bureau.,1942
99,The promotion of the welfare and hygiene of maternity and infancy,United States. Children's Bureau.,1924
100,Your child from one to six,United States. Children's Bureau.,1945
101,Puzzlemania (Puzzlemania Superchallenge),Highlights for Children,1989
102,Infant care,United States. Children's Bureau.,1951
103,NCH Action for Children factfile,NCH Action for Children.,1994
104,Puzzlemania(r),Highlights for Children,2002
105,Illegitimacy as a child-welfare problem,United States. Children's Bureau.,1920
106,Infant mortality,United States. Children's Bureau.,1918
107,Adventures of Huckleberry Finn,Mark Twain,1884
108,Foster-home care for dependent children,United States. Children's Bureau.,1924
109,Child labor; facts and figures,United States. Children's Bureau.,1930
110,Super Colossal Book of Hidden Pictures,Highlights for Children,2001
111,Annual review,National Children's Bureau.,1974
112,Super Gran,Forrest Wilson (children's author),1978
113,Sharing & caring,United States. Children's Bureau.,1976
114,In your hands,Book House for Children.,1943
115,Who's who,todays  children tomorrows despair,1945
116,Rural children in selected counties of North Carolina,United States. Children's Bureau.,1918
117,Round the World (Round the World),Save the Children Fund,1981
118,Annual report,Bradford Children's Hospital,1936
119,Super Gran is magic,Forrest Wilson (children's author),1983
120,Bill,Canada. Legislature. Legislative Assembly.,2002
121,Disturbed children,Menninger Foundation. Children's Division.,1969
122,"Children's Progress, 1834-1934",United States. Children's Bureau.,1934
123,A children's charter in wartime,United States. Children's Bureau.,1942
124,Handbook of federal statistics of children,United States. Children's Bureau.,1913
125,Facts about rheumatic fever,United States. Children's Bureau.,1945
126,Average heights and weights of children under six years of age ..,United States. Children's Bureau.,1921
127,Facts about juvenile delinquency,United States. Children's Bureau.,1932
128,Subsidized adoption in America,United States. Children's Bureau.,1976
129,The employment-certificate system,United States. Children's Bureau.,1919
130,County organization for child care and protection ..,United States. Children's Bureau.,1922
131,Baby-week campaigns,United States. Children's Bureau.,1915
132,"Changes, during Sept. 1934-June 1936,. in different types of public and private relief in urban areas",United States. Children's Bureau.,1934
133,WELFARE OF CHILDREN IN COTTON-GROWING AREAS OF TEXAS,United States. Children's Bureau.,1924
134,The Children's bureau ..,United States. Children's Bureau.,1912
135,Some facts about juvenile delinquency,United States. Children's Bureau.,1953
136,"Handbook for the use of boards of directors, superintendents, and staffs of institutions for dependent children",United States. Children's Bureau.,1927
137,Phonics,Inc. Highlights for Children,1982
138,The Super Colossal Book of Hidden Pictures,Inc. Highlights for Children,2002
139,Hidden Pictures 2005,Inc. Highlights for Children,2004
140,Wicked Wallets,Chrysalis Children's Books,2003
141,Response to Child Sexual Abuse (Tavistock Videotapes),Children's Institute International,1989
142,A Visit To The Bazaar,A Lover Of Children,2007
143,The Little Warbler Of The Cottage,A Lover Of Children,2007
144,16 Songs Kids Love to Sing,Northeast Foundation for Children,1998
145,Caribbean Childhoods,Children's Isues Coalition,2003
146,One hundred years,National Children's Home.,1969
147,Children today,National Children's Home.,1984
148,S.O.S. America!,Children's Defense Fund.,1990
149,Birth registration,United States. Children's Bureau.,1913
150,Your gifted child,United States. Children's Bureau.,1959
151,Omnidirectory,National Deaf Children's Society.,2000
152,"CTW review, 1973-1975",Children's Television Workshop,1975
153,Highlights,National Children's Bureau.,1973
154,Reading lists,National Children's Bureau.,1994
155,Twenty-first annual review 1984,National Children's Bureau.,1985
156,Saturday morning cinema,Children's Film Foundation.,1967
157,NCH strategic plan,National Children's Home.,1991
158,National Children's Centre,National Children's Centre.,1988
159,Super Gran abroad,Forrest Wilson (children's author),1988
160,The adventures ofthe ABC mob,Forrest Wilson (children's author),1983
161,Institutions serving delinquent children,United States. Children's Bureau.,1957
162,Services in Islington for children with special needs,Islington Children's Information Service.,2002
163,The authors and illustrators list,Centre for Children's Books.,1981
164,Changing schools,Council for Children's Welfare.,1959
165,Families with problems,Council for Children's Welfare.,1958
166,Juvenile delinquency services,United States. Children's Bureau.,1964
167,"By-laws, rules and regulations of the Hospital for Sick Children , College Street, Toronto and the Lakeside Home for Little Children, Lighthouse Point, Toronto Island",Hospital for Sick Children.,1907
168,Little Miss Muffet fights back,Feminists on Children's Media.,1971
169,Rebus Treasury,Inc. Highlights for Children,1991
170,Knowledge Masters Plus,Chrysalis Children's Books,2003
171,If your baby must travel in wartime,United States. Children's Bureau.,1944
172,Cost analysis in child welfare services,United States. Children's Bureau.,1958
173,Child welfare services,United States. Children's Bureau.,1957
174,Standards for specialized courts dealing with children,United States. Children's Bureau.,1954
175,Maternity and infant care in two rural counties in Wisconsin,United States. Children's Bureau.,1919
176,The welfare of children in bituminous coal mining communities in West Virginia,United States. Children's Bureau.,1923
177,"Standards of child health, education, and social welfare",United States. Children's Bureau.,1942
178,Pokemon Evolvers Clip Strip,Reader's Digest Children's Books,2000
179,Memorial Of George Washington Hosmer,Edited By His Children,2007
180,Foster family services selected reading list,United States. Children's Bureau.,1977
181,Maternity and infant care in a rural county in Kansas,United States. Children's Bureau.,1917
182,Food for groups of young children cared for during the day,United States. Children's Bureau.,1960
183,Local child welfare services self-assessment manual,United States. Children's Bureau.,1979
184,MATERNITY AND CHILD CARE IN SELECTED RURAL AREAS OF MISSISSIPPI,United States. Children's Bureau.,1921
185,When your child goes to the hospital,United States. Children's Bureau.,1976
186,MATERNITY CARE AND THE WELFARE OF YOUNG CHILDREN IN A HOMESTEADING COUNTY IN MONTANA,United States. Children's Bureau.,1919
187,State commissions for the study and revision of child-welfare laws,United States. Children's Bureau.,1920
188,Standards of legal protection for children born out of wedlock,United States. Children's Bureau.,1921
189,Child dependency in the District of Columbia,United States. Children's Bureau.,1924
190,New frontiers in special education,Council for Exceptional Children.,1965
191,National action for Foster Children,United States. Children's Bureau.,1975
192,Protecting children in adoption,United States. Children's Bureau.,1955
193,Children's Books: Awards & Prizes,Children's Book Council,1992
194,Families,Save the Children Fund,1981
195,IEP team guide,Council for Exceptional Children.,1998
196,Creating Schools for All Our Students: What 12 Schools Have to Say,Council for Exceptional Children.,1994
197,Who's Hiding? (Golden Touch and Feel),Children's Tel. Workshop,1986
198,Two Dogs and Freedom,Children of the Township,1986
199,Paediatric Handbook,Royal Children's Hospital,1992
200,The Children's Hospital of Philadelphia Guide to Asthma,Children's Hospital of Philadelphia.,2004
201,Adolescent Pregnancy Child Watch Manual/With Supplement Phase II Supplement,Children's Defense Fund,1984
202,A guide to prehistoric sites in Herefordshire,"George Children,
        George Nash",1994
