,Title,Authors,Years
0,"Laws, etc","
        Rand McNally",1691
1,Just So Stories (Tape),"
        Children",1986
2,"State Legislative Education Committees Directory, 1989-1990","
        Children",1990
3,"Children's toys, and some elementary lessons in general knowledge which they teach","
        Children",1877
4,"Historical perspective on mental retardation during the decade, 1954-1964","
        Children.",1964
5,"Children's britannica, vol. 20","
        CHILDREN'S",1973
6,Children's Crusade for Children records,"
        Children's Crusade for Children",-1
7,The Rough Guide to African Music for Children CD,"
        Children for Children",2005
8,Super Scratch Art Pads,"
        Sterling Children's",2017
9,Field Trip Facts: Notes From Ms. Frizzle's Kids,"
        School Children",2007
10,The needs of the under-fives in the family,"
        Children's Committee.",1980
11,Rose's Table,"
        Sanna Children",2004
12,Hamlet,"
        William Shakespeare",1603
13,Children's Art Therapy 2004 Engagement Calendar,"
        Aldea children",2003
14,Children's Art Therapy 2003 Engagement Calendar,"
        Aldea children",2002
15,Children's Art Therapy 2005 Engagement Calendar,"
        Aldea children",2004
16,Children's Art Therapy 2004 Wall Calendar,"
        Aldea children",2003
17,Children's Art Therapy 2005 Wall Calendar,"
        Aldea children",2004
18,Clone of My Own #6,"
        TK (Children's)",-1
19,Baby's Day,"
        TK (Children's)",2005
20,Uncle Arthur's Storytime,"
        Children's Media",1989
21,Children's Art Therapy 2006 Engagement Calendar,"
        Aldea Children",2005
22,Children's Art Therapy 2002 Engagement Calendar,"
        Aldea Children",2001
23,Children's Art Therapy 2006 Wall Calendar,"
        Aldea Children",2005
24,Mazes!,"
        Quarto Children's",1998
25,Piggy Bank,"
        Quarto Children's",1999
26,Carl Lewis,"
        Children's Press",1984
27,Circle the Year with Holidays,"
        Children's Press",1997
28,Aquatic Life,"
        Children's Press",1998
29,"Believers in America/Followers of the North Star/Latino Rainbow/Songs of Our Ancestors (Many Voices, One Song)","
        Children's Press",1997
30,People and Places,"
        Children's Press",1992
31,Astronomy & Cardinal Directions,"
        Children's Press",1998
32,"Insects, Spiders, & Worms","
        Children's Press",1998
33,United States History Government,"
        Children's Press",1988
34,Native Peoples Series Set,"
        Children's Press",1991
35,Physical Science,"
        Children's Press",1998
36,Games People Play,"
        Children's Press",1995
37,World's Greatest Composers,"
        Children's Press",1998
38,World of Difference Series,"
        Children's Press",1995
39,Getting to Know the World Greatest Artists,"
        Children's Press",1998
40,Earth Science & Ecology,"
        Children's Press",1998
41,You Are There,"
        Children's Press",1997
42,Experiments,"
        Children's Press",1940
43,A Child's eye: Indonesia through the eyes of a child,"
        Indonesian children",2002
44,Children's Britannica,"
        Children's Britannica.",1965
45,Children's Britannica,"
        Children's Britannica.",1965
46,Children's Britannica,"
        Children's Britannica.",1965
47,Reggio Tutta,"
        teachers children",2001
48,The reduction of perinatal mortality and morbidity,"
        Children's Committee.",1979
49,"""Whose children?""","
        Children's Foundation",-1
50,Children's Britannica,"
        Children's Britannica.",1965
51,Differentiation,"
        Special Children.",-1
52,250 Songs for Children's Praise & Worship,"
        Children's Ministry",2006
53,Cm̤o Ayudar al Niǫ en Situaciones Difc̕iles (How,"
        Axel Children.",-1
54,A short statement of the case of John Children,"
        John Children",1787
55,"Games and songs of American children, collected and compared by W.W. Newell","
        American children",1883
56,"A collection of hope's [sic], dream's [sic] & fear's [sic] for the millennium","
        Rothwell's Children.",-1
57,Byron Through the Seasons,"
        LaRoche Children",1999
58,"Made in the North Pole
            
                Rise of the Guardians","
        Tk (Children's)",2012
59,Can You Find Colors,"
        Children's Press",2010
60,"Olivia Goes to the Aquarium
            
                Olivia TV TieIn","
        Children's Tk",-1
61,Baby Moves,"
        TK (Children's)",2005
62,Piglets Belong To Pigs,"
        Children's Press",2009
63,Captain Courageous,"
        Children's Classics",1999
64,"Jared Grace's How-to-Draw Book (Spiderwick Chronicles, the)","
        TK (Children's)",2007
65,"Our children's rest; or, Comfort for bereaved mothers","
        Our children",1863
66,"Our children's times; or, Sketches of the past and present, from ... 1848 to ... 1855","
        Our children",1856
67,"Choice gatherings for Christian children, with an intr. by C. Clayton","
        Christian children",1846
68,Untitled Picture Book,"
        TK (Children's)",2010
69,The Children's Friend story book,"
        Children's Friend",1952
70,"Baby Logbook: Navy Banner Tracker for Newborns, Breastfeeding Journal, Sleeping and Baby Health Notebook","
        Children's Notebooks",2017
71,Enchantment of the World,"
        Children's Press",2015
72,Beautiful Beasts,"
        Sterling Children's",2015
73,Food/Los alimentos,"
        Sterling Children's",2016
74,Clothes/La ropa,"
        Sterling Children's",2016
75,Color Your Own Doll's House,"
        Sterling Children's",2016
76,Do You Mind? A Knicknattics Guide to Manners,"
        Fantastical Children",2012
77,Olivia And The Dog Wash,"
        Tk (Children's)",2012
78,Whizzing Through The Woods,"
        Butterfly Children",2018
79,Look & See,"
        Sterling Children's",2018
80,Listful Thinking,"
        Sterling Children's",2018
81,Everything You Need to Know About Snakes,"
        DK Children",2013
82,Make a Yellow Dot the Sun,"
        Sterling Children's",2017
83,Doodlepedia Animal Antics,"
        DK Children",2013
84,Sing A Song Of Seasons,"
        Children's Press",2009
85,Olivia And Grandmas Visit,"
        Tk (Children's)",2013
86,The legacy letters,"
        Tuesday's Children",2011
87,Children Stories,"
        Children Books",2018
88,Invisible Children's Activist Journal in the Race for Peace in Northern Uganda (This is Our Mission,"
        Invisible Children",2009
89,250 Songs for Children's Praise & Worship,"
        Children's Ministry",-1
90,Puzzlemania,"
        Highlights for Children, Inc.",1989
91,Odyssey,"
        Homer",1488
92,Children,"
        John W. Santrock",1988
93,Children,"
        Celia Anita Decker",1990
94,Pride and Prejudice,"
        Jane Austen",1813
95,Mathmania,"
        Inc. Highlights for Children",2002
96,Puzzlemania,"
        Inc. Highlights for Children",2002
97,El ingenioso hidalgo Don Quijote de la Mancha,"
        Miguel de Cervantes Saavedra,
        Florencio Sevilla Arroyo,
        Elena Varela Merino,
        Carlos Alonso,
        Jorge Alvaro,
        Silvina Benguria",1600
98,Mathmania,"
        Highlights for Children",2003
99,Report and accounts,"
        National Children's Bureau.",1980
100,Report,"
        Paddington Green Children's Hospital",1893
101,Annual report of the Royal Manchester Children's Hospital,"
        Royal Manchester Children's Hospital",1933
102,Routes to Health - Environmental Studies with 10-14 Year Olds,"
        Save the Children",1995
103,Children,"
        Mollie Stevens Smart",1967
104,What every special educator must know,"
        Council for Exceptional Children.",1995
105,Convocation lectures,"
        National Children's Home.",1966
106,Prenatal care,"
        United States. Children's Bureau.",1942
107,Children,"
        David Archard",1993
108,The promotion of the welfare and hygiene of maternity and infancy,"
        United States. Children's Bureau.",1924
109,Your child from one to six,"
        United States. Children's Bureau.",1945
110,Puzzlemania (Puzzlemania Superchallenge),"
        Highlights for Children",1989
111,Infant care,"
        United States. Children's Bureau.",1951
112,NCH Action for Children factfile,"
        NCH Action for Children.",1994
113,Puzzlemania(r),"
        Highlights for Children",2002
114,Illegitimacy as a child-welfare problem,"
        United States. Children's Bureau.",1920
115,Infant mortality,"
        United States. Children's Bureau.",1918
116,Adventures of Huckleberry Finn,"
        Mark Twain",1884
117,Children,"
        A. R. Gurney",1974
118,Children,"
        Boyd R. McCandless",1967
119,Foster-home care for dependent children,"
        United States. Children's Bureau.",1924
120,Child labor; facts and figures,"
        United States. Children's Bureau.",1930
121,Super Colossal Book of Hidden Pictures,"
        Highlights for Children",2001
122,Annual review,"
        National Children's Bureau.",1974
123,Super Gran,"
        Forrest Wilson (children's author)",1978
124,Sharing & caring,"
        United States. Children's Bureau.",1976
125,In your hands,"
        Book House for Children.",1943
126,Who's who,"
        todays  children tomorrows despair",1945
127,Infant care,"
        United States. Children's Bureau.",1929
128,Rural children in selected counties of North Carolina,"
        United States. Children's Bureau.",1918
129,Round the World (Round the World),"
        Save the Children Fund",1981
130,Annual report,"
        Bradford Children's Hospital",1936
131,Super Gran is magic,"
        Forrest Wilson (children's author)",1983
132,Bill,"
        Canada. Legislature. Legislative Assembly.",2002
133,Children,"
        Robert V. Kail",2002
134,Children,"
        Ellis D. Evans",1958
135,Disturbed children,"
        Menninger Foundation. Children's Division.",1969
136,"Children's Progress, 1834-1934","
        United States. Children's Bureau.",1934
137,A children's charter in wartime,"
        United States. Children's Bureau.",1942
138,Handbook of federal statistics of children,"
        United States. Children's Bureau.",1913
139,Facts about rheumatic fever,"
        United States. Children's Bureau.",1945
140,Average heights and weights of children under six years of age ..,"
        United States. Children's Bureau.",1921
141,Facts about juvenile delinquency,"
        United States. Children's Bureau.",1932
142,Subsidized adoption in America,"
        United States. Children's Bureau.",1976
143,The employment-certificate system,"
        United States. Children's Bureau.",1919
144,County organization for child care and protection ..,"
        United States. Children's Bureau.",1922
145,Baby-week campaigns,"
        United States. Children's Bureau.",1915
146,"Changes, during Sept. 1934-June 1936,. in different types of public and private relief in urban areas","
        United States. Children's Bureau.",1934
147,WELFARE OF CHILDREN IN COTTON-GROWING AREAS OF TEXAS,"
        United States. Children's Bureau.",1924
148,The Children's bureau ..,"
        United States. Children's Bureau.",1912
149,Some facts about juvenile delinquency,"
        United States. Children's Bureau.",1953
150,"Handbook for the use of boards of directors, superintendents, and staffs of institutions for dependent children","
        United States. Children's Bureau.",1927
151,Phonics,"
        Inc. Highlights for Children",1982
152,The Super Colossal Book of Hidden Pictures,"
        Inc. Highlights for Children",2002
153,Hidden Pictures 2005,"
        Inc. Highlights for Children",2004
154,Wicked Wallets,"
        Chrysalis Children's Books",2003
155,Response to Child Sexual Abuse (Tavistock Videotapes),"
        Children's Institute International",1989
156,A Visit To The Bazaar,"
        A Lover Of Children",2007
157,The Little Warbler Of The Cottage,"
        A Lover Of Children",2007
158,16 Songs Kids Love to Sing,"
        Northeast Foundation for Children",1998
159,Caribbean Childhoods,"
        Children's Isues Coalition",2003
160,One hundred years,"
        National Children's Home.",1969
161,Children today,"
        National Children's Home.",1984
162,S.O.S. America!,"
        Children's Defense Fund.",1990
163,Birth registration,"
        United States. Children's Bureau.",1913
164,Your gifted child,"
        United States. Children's Bureau.",1959
165,Omnidirectory,"
        National Deaf Children's Society.",2000
166,"CTW review, 1973-1975","
        Children's Television Workshop",1975
167,Highlights,"
        National Children's Bureau.",1973
168,Reading lists,"
        National Children's Bureau.",1994
169,Twenty-first annual review 1984,"
        National Children's Bureau.",1985
170,Saturday morning cinema,"
        Children's Film Foundation.",1967
171,NCH strategic plan,"
        National Children's Home.",1991
172,National Children's Centre,"
        National Children's Centre.",1988
173,Super Gran abroad,"
        Forrest Wilson (children's author)",1988
174,The adventures ofthe ABC mob,"
        Forrest Wilson (children's author)",1983
175,Institutions serving delinquent children,"
        United States. Children's Bureau.",1957
176,Services in Islington for children with special needs,"
        Islington Children's Information Service.",2002
177,The authors and illustrators list,"
        Centre for Children's Books.",1981
178,Changing schools,"
        Council for Children's Welfare.",1959
179,Families with problems,"
        Council for Children's Welfare.",1958
180,Juvenile delinquency services,"
        United States. Children's Bureau.",1964
181,"By-laws, rules and regulations of the Hospital for Sick Children , College Street, Toronto and the Lakeside Home for Little Children, Lighthouse Point, Toronto Island","
        Hospital for Sick Children.",1907
182,Little Miss Muffet fights back,"
        Feminists on Children's Media.",1971
183,Rebus Treasury,"
        Inc. Highlights for Children",1991
184,Knowledge Masters Plus,"
        Chrysalis Children's Books",2003
185,If your baby must travel in wartime,"
        United States. Children's Bureau.",1944
186,Cost analysis in child welfare services,"
        United States. Children's Bureau.",1958
187,Child welfare services,"
        United States. Children's Bureau.",1957
188,Standards for specialized courts dealing with children,"
        United States. Children's Bureau.",1954
189,Maternity and infant care in two rural counties in Wisconsin,"
        United States. Children's Bureau.",1919
190,The welfare of children in bituminous coal mining communities in West Virginia,"
        United States. Children's Bureau.",1923
191,"Standards of child health, education, and social welfare","
        United States. Children's Bureau.",1942
